text,label
그동안 육아에 지쳐있던 마누라의 힐링이 필요할듯하여 연애때 자주갔던 남산타워 명동 그리고 처음 손잡았던 광화문 광장에서의 추억을 되살려보려 롯데에 투숙했습니다 인테리어 측면에서 세련되지않았지만 오랜된 내집처럼 편하게 되어있는 룸은 우리 부부 둘만의 시간을 보낼수있었고 센스있는 직원분(?)의 도움으로 특별한 추억도 만들었네요 호텔의 가장 중요하다고 생각하는게 위생상태라고 생각하거든요 근데 정말 깔끔해서 좀 놀랐네요 직원들의 마인드를 엿볼수있었습니다 푹 쉬다 갑니다  또 올께요,20
직원들이 친절함 시설도 깨끗하고 분위기가 편안하고 세련됨  다음번에 다시 또 이용할 예정 아주 만족합니다. 한가지 아쉬운 점은  주차가 기계식이지만 나쁘지는 않음,20
지난주말  가족과 함께  노보텔독산점 1023호에서 좋은추억 만들기..1층 로비에서부터  친절한 직원들의 안내를 받으며 체크인 시작..로비에 큰 트리는  환상적이었어요..아직은 어린  아이들과 추운날씨에 바깥놀이 대신  실내수영장에서 물놀이도하고 맛있는 뷔페도 먹고 잊지못할 추억만들었네요..1박 2일동안 깨끗한 호실에서 친절한 직원들을  잊지 못할꺼 같아요.  추천  쾅!쾅!쾅!,
가족과 여름휴가를 이용하여 다녀왔습니다. 동대문과 명동도 가까운편이라 움직이기 수월했습니다. 규모가 크지는 않지만 데스크 및 식당 직원들 대체적으로 친절한편임.,8
9월 초 지인과 업무차 오크우드 호텔을 이용했습니다.지인의 추천으로 이용했는데 정말 추천답게호텔도 깔끔하고 전체적으로 잘 정돈되었다는느낌을 많이 받았네요~또 비지니스 센터에 계신 분이 친절히 잘 설명해주셔서 이용하는데 큰 문제도 없었구요아무튼 좋은 기억 가지고 돌아갑니다~,
"가족들과 인사동 구경차 방문했습니다인사동과 거리가 가까워서 좋았고, 생각보다 깔끔한 호텔이라 좋았습니다.객실이 약간 작아 아쉬웠지만 그래도 3식구가 지내기엔 불편하지 않았네요.옥상에서 비비큐도 운영하고있던데..이용하고싶었지만 만석이라 이용하진 못해서 아쉬웠어요ㅠㅠ 직원들의친절과 깨끗한 호텔에서 즐거운시간 보내고 가요",8/9
컨퍼런스나 결혼식으로 가끔 방문합니다. 주차장 넓은편이고 건물자체가 팬시하거나 크진않지만 깔끔한편입니다. 결혼식장도 협소하긴하나 뷔페음식은 괜찮은편이에요.,8
매번 이용할때마다 늘 편리함에 다시 찾게되는거같아요  쇼핑도 영화도 식사도 모두 만족스럽게 즐길수있고 호텔컨디션도 좋구요다만 한가지 조식메뉴가 매일 조금씩이라도 바뀌었음하는 바램이^^,10
전망도 좋고 시설도 괜찮고 특히나 직원들이 친절해서 항상 가면 기분이 좋아지는 호텔입니다 추천해요,
 위치가 광화문 앞이라 서울의 특징을 가장 잘 느낄 수 있습니다. 주위에 먹을 것도 많고 호텔 내 식당도 훌륭합니다. 도보로 돌아다니면서 둘러보기도 좋구요. 수영장도 크지는 않지만 아이와 함께 편리하게 이용하였습니다. 현재 서울에서 제일 좋은 호텔이라 할 만 합니다.,
